timestamp;source;destination;port_source;port_destination;details;protocole;flags;length
11:42:29.643932;BP-Linux8.40679;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 127027, win 1473, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644201;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 49121:50569, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644208;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 50569, win 1020, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644497;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 50569:52017, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644501;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 52017, win 1043, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644507;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 52017:53465, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644510;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 53465, win 1066, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644514;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 53465:54913, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644516;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 54913, win 1088, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644523;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 54913:56361, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644526;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 56361, win 1111, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644527;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 56361:57809, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644530;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 57809, win 1134, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644531;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 57809:59257, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
